sl.no |     time |       v0 |       v1 |       v2 |       v3 |       v4 |  valid
   63 | -785.500 |   93.013 |   84.090 |   52.494 |   29.937 |   39.057 |      1
   64 | -785.000 |   71.905 |   93.380 |   82.860 |   50.902 |   29.581 |      1
   65 | -784.500 |   39.710 |   71.552 |   93.306 |   83.138 |   51.254 |      1
   66 | -784.000 |   29.425 |   40.977 |   73.127 |   93.607 |   81.864 |      1
   67 | -783.500 |   50.413 |   29.487 |   40.691 |   72.779 |   93.547 |      1
   68 | -783.000 |   82.748 |   50.763 |   29.553 |   40.407 |   72.430 |      1
   69 | -782.500 |   93.683 |   81.457 |   49.201 |   29.289 |   41.705 |      1
   70 | -782.000 |   73.264 |   93.630 |   81.749 |   49.546 |   29.340 |      1
   71 | -781.500 |   40.804 |   72.917 |   93.572 |   82.038 |   49.892 |      1
   72 | -781.000 |   29.224 |   42.119 |   74.465 |   93.799 |   80.717 |      1
   73 | -780.500 |   49.065 |   29.270 |   41.822 |   74.124 |   93.756 |      1
   74 | -780.000 |   79.992 |   47.539 |   29.097 |   43.177 |   75.646 |      1
